,Al-complex,Vbur,Pm
0,A1Y1B1,0.5924979034662691,0.72
1,A1Y1B2,0.6508281308237048,0.68
2,A1Y1B3,0.6471300782705927,0.79
3,A1Y2B1,0.6208302273574358,0.77
4,A1Y3B1,0.6230024692508386,0.63
5,A1Y5B2,0.666249301155423,0.64
6,A1Y8B1,0.6447365355944837,0.84
7,A1Y9B1,0.6649331438688035,0.5
8,A1Y11B1,0.6050246925083861,0.72
9,A2Y1B3,0.6713625139768915,0.39
10,A2Y11B1,0.6112968225866567,0.86
11,A3Y1B1,0.6317496738725308,0.83
12,A3Y1B2,0.7097349049571375,0.58
13,A3Y1B3,0.7114470741707044,0.39
14,A3Y2B1,0.6573215616846814,0.92
15,A3Y3B1,0.6587716641818859,0.93
16,A3Y4B1,0.6608507267983601,0.92
17,A3Y5B1,0.6290474748415952,0.93
18,A3Y6B1,0.623276183376817,0.79
19,A3Y6B2,0.7098280842340663,0.46
20,A3Y7B1,0.6486500652254938,0.72
21,A3Y8B1,0.6803717853149459,0.63
22,A3Y9B1,0.7029211703317182,0.55
23,A3Y12B1,0.6573681513231457,0.88
24,A4Y1B2,0.6457265654118524,0.85
25,A4Y1B3,0.6493139675736116,0.89
26,A4Y2B1,0.6205914554603056,0.52
27,A4Y6B1,0.5860044726052925,0.51
28,A4Y8B1,0.6447190644800597,0.86
29,A4Y11B1,0.6050887532612746,0.83
30,A5Y1B2,0.675206159150205,0.06
31,A5Y1B3,0.6799583022735743,0.08
32,A5Y2B2,0.6923919120387626,0.69
33,A5Y2B3,0.6776462914647783,0.48
34,A5Y3B3,0.7117149645918748,0.55
35,A5Y5B2,0.6907088613492359,0.26
36,A5Y6B2,0.6757128214685054,0.17
37,A5Y11B1,0.6094157659336563,0.76
38,A6Y1B1,0.5990088054416698,0.56
39,A6Y1B2,0.6714673406634365,0.12
40,A6Y1B3,0.6739773574357063,0.04
41,A6Y2B1,0.6273760715616847,0.6
42,A6Y2B2,0.6733251024972047,0.49
43,A6Y3B1,0.6297696142377935,0.59
44,A6Y5B1,0.6022642564293701,0.57
45,A6Y5B2,0.6819267144986955,0.3
46,A6Y6B2,0.6758001770406261,0.25
47,A6Y8B1,0.6520511088333955,0.37
48,A6Y9B1,0.6723816623183004,0.6
49,A7Y1B1,0.5925037271710771,0.7
50,A7Y2B1,0.6206380450987701,0.81
51,A8Y1B1,0.6156296589638465,0.9
52,A8Y2B1,0.6443929370108088,0.69
53,A8Y3B1,0.6457789787551249,0.93
54,A8Y5B1,0.6169050503168095,0.82
55,A8Y6B1,0.6106212728289229,0.45
56,A8Y9B1,0.6811754565784569,0.52
57,A8Y11B1,0.6241264442787924,0.85
58,A9Y1B1,0.6076628307864331,0.78
59,A9Y2B1,0.6310158870667164,0.82
60,A10Y1B1,0.6166662784196795,0.82
61,A10Y2B1,0.6487490682072307,0.83
62,A10Y3B1,0.6510494316064107,0.85
63,A10Y6B1,0.6085189153932166,0.68
64,A11Y2B1,0.6574904491241148,0.92
65,A11Y3B1,0.659126910175177,0.95
66,A13Y2B1,0.6573681513231457,0.9
67,A13Y5B1,0.602823332090943,0.88
68,A14Y1B1,0.5990146291464779,0.69
69,A14Y1B2,0.6669423220275811,0.2
70,A14Y1B3,0.6670413250093179,0.17
71,A14Y2B1,0.6273411293328364,0.78
72,A14Y3B1,0.6295483134550875,0.72
73,A14Y5B1,0.602829155795751,0.77
74,A14Y5B2,0.6801563082370481,0.44
75,A14Y11B1,0.61143659150205,0.77
76,A15Y3B1,0.6650088520313082,0.97
77,A16Y1B2,0.6792070443533358,0.07
78,A16Y1B3,0.6840348956392098,0.07
79,A16Y2B1,0.6296298453224003,0.76
80,A16Y3B1,0.632011740588893,0.64
81,A16Y7B1,0.6212437103988073,0.41
82,A16Y11B1,0.6143833861349236,0.79
